"","estimator","n","MSE"
"1","MAGIC",100,67.9796417807677
"2","RLTMLE 2",100,6.43639875791522
"3","RLTMLE 1",100,41.0948366170562
"4","WDR",100,176.08586924304
"5","MAGIC",200,40.5592193068444
"6","RLTMLE 2",200,2.09594743104341
"7","RLTMLE 1",200,18.9493020697665
"8","WDR",200,102.307426178055
"9","MAGIC",500,41.8823986867242
"10","RLTMLE 2",500,0.824133855813913
"11","RLTMLE 1",500,4.12527703613865
"12","WDR",500,128.745840741195
"13","MAGIC",1000,22.6490846689906
"14","RLTMLE 2",1000,0.48996627145625
"15","RLTMLE 1",1000,4.35993948371321
"16","WDR",1000,88.607508028161
